"07459: Befolkning, etter region, kjønn, statistikkvariabel og år"

"region";"kjønn";"Personer 2020"
"30 Viken";"Menn";623445
"30 Viken";"Kvinner";617720
"03 Oslo";"Menn";346184
"03 Oslo";"Kvinner";347310
"34 Innlandet";"Menn";186319
"34 Innlandet";"Kvinner";185066
"38 Vestfold og Telemark";"Menn";209895
"38 Vestfold og Telemark";"Kvinner";209501
"42 Agder";"Menn";154656
"42 Agder";"Kvinner";152575
"11 Rogaland";"Menn";243572
"11 Rogaland";"Kvinner";236320
"46 Vestland";"Menn";322614
"46 Vestland";"Kvinner";313917
"15 Møre og Romsdal";"Menn";135213
"15 Møre og Romsdal";"Kvinner";130025
"50 Trøndelag - Trööndelage";"Menn";238103
"50 Trøndelag - Trööndelage";"Kvinner";230599
"18 Nordland";"Menn";122432
"18 Nordland";"Kvinner";118803
"54 Troms og Finnmark - Romsa ja Finnmárku";"Menn";124129
"54 Troms og Finnmark - Romsa ja Finnmárku";"Kvinner";119182
"21 Svalbard";"Menn";0
"21 Svalbard";"Kvinner";0
