date,norge,agder,innlandet,møre,norland,oslo,rogaland,vestfold,troms,trondelag,vestland,viken
2020-02-26,  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27,  4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,  6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29, 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01, 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02, 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03, 33, 3, 0, 0, 0, 7, 1, 0, 2, 0,12, 8
2020-03-04, 56, 3, 3, 1, 0,11, 3, 0, 2, 1,17,15
2020-03-05, 86, 5, 4, 2, 0,18, 3, 2, 2, 7,22,21
2020-03-06,113, 5, 6, 2, 0,23,10, 2, 6,11,23,25
2020-03-07,147, 9,12, 2, 1,28,15, 2, 6,11,24,37
2020-03-08,169, 9,12, 2, 3,35,17, 3, 6,19,24,39
2020-03-09,192,12,13, 2, 3,35,26, 4, 6,21,26,44
2020-03-10,277,19,16, 5, 3,51,33, 5, 6,22,31,68
2020-03-11,489,
