municipality_raw,population,municipality_code,municipality
K_3001 Halden,31373,K_3001,Halden
K_3002 Moss,49273,K_3002,Moss
K_3003 Sarpsborg,56732,K_3003,Sarpsborg
K_3004 Fredrikstad,82385,K_3004,Fredrikstad
K_3005 Drammen,101386,K_3005,Drammen
K_3006 Kongsberg,27723,K_3006,Kongsberg
K_3007 Ringerike,30641,K_3007,Ringerike
K_3011 Hvaler,4668,K_3011,Hvaler
K_3012 Aremark,1325,K_3012,Aremark
K_3013 Marker,3595,K_3013,Marker
K_3014 Indre Østfold,44792,K_3014,Indre Østfold
K_3015 Skiptvet,3805,K_3015,Skiptvet
K_3016 Rakkestad,8255,K_3016,Rakkestad
K_3017 Råde,7508,K_3017,Råde
K_3018 Våler (Viken),5736,K_3018,Våler (Viken)
K_3019 Vestby,18042,K_3019,Vestby
K_3020 Nordre Follo,59288,K_3020,Nordre Follo
K_3021 Ås,20439,K_3021,Ås
K_3022 Frogn,15877,K_3022,Frogn
K_3023 Nesodden,19616,K_3023,Nesodden
K_3024 Bærum,127731,K_3024,Bærum
K_3025 Asker,94441,K_3025,Asker
K_3026 Aurskog-Høland,17390,K_3026,Aurskog-Høland
K_3027 Rælingen,18530,K_3027,Rælingen
K_3028 Enebakk,11110,K_3028,Enebakk
K_3029 Lørenskog,41460,K_3029,Lørenskog
K_3030 Lillestrøm,85983,K_3030,Lillestrøm
K_3031 Nittedal,24249,K_3031,Nittedal
K_3032 Gjerdrum,6890,K_3032,Gjerdrum
K_3033 Ullensaker,39625,K_3033,Ullensaker
K_3034 Nes,23092,K_3034,Nes
K_3035 Eidsvoll,25436,K_3035,Eidsvoll
K_3036 Nannestad,14139,K_3036,Nannestad
K_3037 Hurdal,2854,K_3037,Hurdal
K_3038 Hole,6799,K_3038,Hole
K_3039 Flå,1050,K_3039,Flå
K_3040 Nesbyen,3273,K_3040,Nesbyen
K_3041 Gol,4608,K_3041,Gol
K_3042 Hemsedal,2486,K_3042,Hemsedal
K_3043 Ål,4674,K_3043,Ål
K_3044 Hol,4441,K_3044,Hol
K_3045 Sigdal,3467,K_3045,Sigdal
K_3046 Krødsherad,2212,K_3046,Krødsherad
K_3047 Modum,14115,K_3047,Modum
K_3048 Øvre Eiker,19423,K_3048,Øvre Eiker
K_3049 Lier,26811,K_3049,Lier
K_3050 Flesberg,2688,K_3050,Flesberg
K_3051 Rollag,1390,K_3051,Rollag
K_3052 Nore og Uvdal,2439,K_3052,Nore og Uvdal
K_3053 Jevnaker,6852,K_3053,Jevnaker
K_3054 Lunner,9048,K_3054,Lunner
K_0301 Oslo,693494,K_0301,Oslo
K_3401 Kongsvinger,17829,K_3401,Kongsvinger
K_3403 Hamar,31369,K_3403,Hamar
K_3405 Lillehammer,28345,K_3405,Lillehammer
K_3407 Gjøvik,30560,K_3407,Gjøvik
K_3411 Ringsaker,34768,K_3411,Ringsaker
K_3412 Løten,7674,K_3412,Løten
K_3413 Stange,21064,K_3413,Stange
K_3414 Nord-Odal,5016,K_3414,Nord-Odal
K_3415 Sør-Odal,7905,K_3415,Sør-Odal
K_3416 Eidskog,6106,K_3416,Eidskog
K_3417 Grue,4612,K_3417,Grue
K_3418 Åsnes,7203,K_3418,Åsnes
K_3419 Våler (Innlandet),3662,K_3419,Våler (Innlandet)
K_3420 Elverum,21254,K_3420,Elverum
K_3421 Trysil,6627,K_3421,Trysil
K_3422 Åmot,4356,K_3422,Åmot
K_3423 Stor-Elvdal,2419,K_3423,Stor-Elvdal
K_3424 Rendalen,1780,K_3424,Rendalen
K_3425 Engerdal,1268,K_3425,Engerdal
K_3426 Tolga,1562,K_3426,Tolga
K_3427 Tynset,5578,K_3427,Tynset
K_3428 Alvdal,2432,K_3428,Alvdal
K_3429 Folldal,1545,K_3429,Folldal
K_3430 Os,1891,K_3430,Os
K_3431 Dovre,2553,K_3431,Dovre
K_3432 Lesja,1975,K_3432,Lesja
K_3433 Skjåk,2197,K_3433,Skjåk
K_3434 Lom,2228,K_3434,Lom
K_3435 Vågå,3570,K_3435,Vågå
K_3436 Nord-Fron,5723,K_3436,Nord-Fron
K_3437 Sel,5739,K_3437,Sel
K_3438 Sør-Fron,3119,K_3438,Sør-Fron
K_3439 Ringebu,4392,K_3439,Ringebu
K_3440 Øyer,5100,K_3440,Øyer
K_3441 Gausdal,6106,K_3441,Gausdal
K_3442 Østre Toten,14973,K_3442,Østre Toten
K_3443 Vestre Toten,13427,K_3443,Vestre Toten
K_3446 Gran,13630,K_3446,Gran
K_3447 Søndre Land,5617,K_3447,Søndre Land
K_3448 Nordre Land,6633,K_3448,Nordre Land
K_3449 Sør-Aurdal,2954,K_3449,Sør-Aurdal
K_3450 Etnedal,1279,K_3450,Etnedal
K_3451 Nord-Aurdal,6413,K_3451,Nord-Aurdal
K_3452 Vestre Slidre,2125,K_3452,Vestre Slidre
K_3453 Øystre Slidre,3229,K_3453,Øystre Slidre
K_3454 Vang,1578,K_3454,Vang
K_3801 Horten,27351,K_3801,Horten
K_3802 Holmestrand,24699,K_3802,Holmestrand
K_3803 Tønsberg,56293,K_3803,Tønsberg
K_3804 Sandefjord,63764,K_3804,Sandefjord
K_3805 Larvik,47204,K_3805,Larvik
K_3806 Porsgrunn,36397,K_3806,Porsgrunn
K_3807 Skien,54942,K_3807,Skien
K_3808 Notodden,13049,K_3808,Notodden
K_3811 Færder,26730,K_3811,Færder
K_3812 Siljan,2340,K_3812,Siljan
K_3813 Bamble,14061,K_3813,Bamble
K_3814 Kragerø,10380,K_3814,Kragerø
K_3815 Drangedal,4060,K_3815,Drangedal
K_3816 Nome,6515,K_3816,Nome
K_3817 Midt-Telemark,10444,K_3817,Midt-Telemark
K_3818 Tinn,5691,K_3818,Tinn
K_3819 Hjartdal,1573,K_3819,Hjartdal
K_3820 Seljord,2888,K_3820,Seljord
K_3821 Kviteseid,2403,K_3821,Kviteseid
K_3822 Nissedal,1448,K_3822,Nissedal
K_3823 Fyresdal,1287,K_3823,Fyresdal
K_3824 Tokke,2201,K_3824,Tokke
K_3825 Vinje,3676,K_3825,Vinje
K_4201 Risør,6809,K_4201,Risør
K_4202 Grimstad,23544,K_4202,Grimstad
K_4203 Arendal,44999,K_4203,Arendal
K_4204 Kristiansand,111633,K_4204,Kristiansand
K_4205 Lindesnes,23046,K_4205,Lindesnes
K_4206 Farsund,9691,K_4206,Farsund
K_4207 Flekkefjord,9028,K_4207,Flekkefjord
K_4211 Gjerstad,2428,K_4211,Gjerstad
K_4212 Vegårshei,2097,K_4212,Vegårshei
K_4213 Tvedestrand,6053,K_4213,Tvedestrand
K_4214 Froland,5951,K_4214,Froland
K_4215 Lillesand,11074,K_4215,Lillesand
K_4216 Birkenes,5226,K_4216,Birkenes
K_4217 Åmli,1836,K_4217,Åmli
K_4218 Iveland,1331,K_4218,Iveland
K_4219 Evje og Hornnes,3634,K_4219,Evje og Hornnes
K_4220 Bygland,1162,K_4220,Bygland
K_4221 Valle,1164,K_4221,Valle
K_4222 Bykle,965,K_4222,Bykle
K_4223 Vennesla,14774,K_4223,Vennesla
K_4224 Åseral,932,K_4224,Åseral
K_4225 Lyngdal,10365,K_4225,Lyngdal
K_4226 Hægebostad,1680,K_4226,Hægebostad
K_4227 Kvinesdal,5987,K_4227,Kvinesdal
K_4228 Sirdal,1822,K_4228,Sirdal
K_1101 Eigersund,14811,K_1101,Eigersund
K_1103 Stavanger,143574,K_1103,Stavanger
K_1106 Haugesund,37357,K_1106,Haugesund
K_1108 Sandnes,79537,K_1108,Sandnes
K_1111 Sokndal,3280,K_1111,Sokndal
K_1112 Lund,3202,K_1112,Lund
K_1114 Bjerkreim,2787,K_1114,Bjerkreim
K_1119 Hå,18991,K_1119,Hå
K_1120 Klepp,19588,K_1120,Klepp
K_1121 Time,18916,K_1121,Time
K_1122 Gjesdal,12002,K_1122,Gjesdal
K_1124 Sola,27153,K_1124,Sola
K_1127 Randaberg,11221,K_1127,Randaberg
K_1130 Strand,12968,K_1130,Strand
K_1133 Hjelmeland,2574,K_1133,Hjelmeland
K_1134 Suldal,3804,K_1134,Suldal
K_1135 Sauda,4595,K_1135,Sauda
K_1144 Kvitsøy,517,K_1144,Kvitsøy
K_1145 Bokn,852,K_1145,Bokn
K_1146 Tysvær,11065,K_1146,Tysvær
K_1149 Karmøy,42186,K_1149,Karmøy
K_1151 Utsira,198,K_1151,Utsira
K_1160 Vindafjord,8714,K_1160,Vindafjord
K_4601 Bergen,283929,K_4601,Bergen
K_4602 Kinn,17207,K_4602,Kinn
K_4611 Etne,4062,K_4611,Etne
K_4612 Sveio,5766,K_4612,Sveio
K_4613 Bømlo,11957,K_4613,Bømlo
K_4614 Stord,18759,K_4614,Stord
K_4615 Fitjar,3189,K_4615,Fitjar
K_4616 Tysnes,2869,K_4616,Tysnes
K_4617 Kvinnherad,13071,K_4617,Kvinnherad
K_4618 Ullensvang,11048,K_4618,Ullensvang
K_4619 Eidfjord,906,K_4619,Eidfjord
K_4620 Ulvik,1080,K_4620,Ulvik
K_4621 Voss,15740,K_4621,Voss
K_4622 Kvam,8457,K_4622,Kvam
K_4623 Samnanger,2485,K_4623,Samnanger
K_4624 Bjørnafjorden,24908,K_4624,Bjørnafjorden
K_4625 Austevoll,5236,K_4625,Austevoll
K_4626 Øygarden,38316,K_4626,Øygarden
K_4627 Askøy,29553,K_4627,Askøy
K_4628 Vaksdal,3977,K_4628,Vaksdal
K_4629 Modalen,388,K_4629,Modalen
K_4630 Osterøy,8098,K_4630,Osterøy
K_4631 Alver,29224,K_4631,Alver
K_4632 Austrheim,2870,K_4632,Austrheim
K_4633 Fedje,548,K_4633,Fedje
K_4634 Masfjorden,1691,K_4634,Masfjorden
K_4635 Gulen,2297,K_4635,Gulen
K_4636 Solund,802,K_4636,Solund
K_4637 Hyllestad,1328,K_4637,Hyllestad
K_4638 Høyanger,4101,K_4638,Høyanger
K_4639 Vik,2635,K_4639,Vik
K_4640 Sogndal,11847,K_4640,Sogndal
K_4641 Aurland,1781,K_4641,Aurland
K_4642 Lærdal,2126,K_4642,Lærdal
K_4643 Årdal,5193,K_4643,Årdal
K_4644 Luster,5174,K_4644,Luster
K_4645 Askvoll,3011,K_4645,Askvoll
K_4646 Fjaler,2802,K_4646,Fjaler
K_4647 Sunnfjord,22030,K_4647,Sunnfjord
K_4648 Bremanger,3629,K_4648,Bremanger
K_4649 Stad,9457,K_4649,Stad
K_4650 Gloppen,5854,K_4650,Gloppen
K_4651 Stryn,7130,K_4651,Stryn
K_1505 Kristiansund,24179,K_1505,Kristiansund
K_1506 Molde,31967,K_1506,Molde
K_1507 Ålesund,66258,K_1507,Ålesund
K_1511 Vanylven,3117,K_1511,Vanylven
K_1514 Sande,2461,K_1514,Sande
K_1515 Herøy (Møre og Romsdal),8900,K_1515,Herøy (Møre og Romsdal)
K_1516 Ulstein,8571,K_1516,Ulstein
K_1517 Hareid,5175,K_1517,Hareid
K_1520 Ørsta,10825,K_1520,Ørsta
K_1525 Stranda,4523,K_1525,Stranda
K_1528 Sykkylven,7625,K_1528,Sykkylven
K_1531 Sula,9310,K_1531,Sula
K_1532 Giske,8462,K_1532,Giske
K_1535 Vestnes,6532,K_1535,Vestnes
K_1539 Rauma,7468,K_1539,Rauma
K_1547 Aukra,3509,K_1547,Aukra
K_1554 Averøy,5788,K_1554,Averøy
K_1557 Gjemnes,2629,K_1557,Gjemnes
K_1560 Tingvoll,3025,K_1560,Tingvoll
K_1563 Sunndal,7036,K_1563,Sunndal
K_1566 Surnadal,5920,K_1566,Surnadal
K_1573 Smøla,2150,K_1573,Smøla
K_1576 Aure,3507,K_1576,Aure
K_1577 Volda,10473,K_1577,Volda
K_1578 Fjord,2549,K_1578,Fjord
K_1579 Hustadvika,13279,K_1579,Hustadvika
K_5001 Trondheim,205163,K_5001,Trondheim
K_5006 Steinkjer,24357,K_5006,Steinkjer
K_5007 Namsos,15230,K_5007,Namsos
K_5014 Frøya,5151,K_5014,Frøya
K_5020 Osen,948,K_5020,Osen
K_5021 Oppdal,7001,K_5021,Oppdal
K_5022 Rennebu,2486,K_5022,Rennebu
K_5025 Røros,5581,K_5025,Røros
K_5026 Holtålen,1981,K_5026,Holtålen
K_5027 Midtre Gauldal,6238,K_5027,Midtre Gauldal
K_5028 Melhus,16733,K_5028,Melhus
K_5029 Skaun,8325,K_5029,Skaun
K_5031 Malvik,14148,K_5031,Malvik
K_5032 Selbu,4062,K_5032,Selbu
K_5033 Tydal,769,K_5033,Tydal
K_5034 Meråker,2422,K_5034,Meråker
K_5035 Stjørdal,24145,K_5035,Stjørdal
K_5036 Frosta,2627,K_5036,Frosta
K_5037 Levanger,20164,K_5037,Levanger
K_5038 Verdal,14948,K_5038,Verdal
K_5041 Snåase - Snåsa,2063,K_5041,Snåase - Snåsa
K_5042 Lierne,1355,K_5042,Lierne
K_5043 Raarvihke - Røyrvik,461,K_5043,Raarvihke - Røyrvik
K_5044 Namsskogan,843,K_5044,Namsskogan
